City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ribeira grande,38.5167,-28.7,293.02,94,75,9.26,PT,1699818675
84,nuuk,64.1835,-51.7216,268.08,67,100,1.34,GL,1699818676
85,yakymivka,46.6897,35.1536,282.23,75,60,5.75,UA,1699818676
86,phalodi,27.1333,72.3667,294.47,33,48,3.37,IN,1699818676
87,saint-philippe,-21.3585,55.7679,293.92,82,43,2.98,RE,1699818677
88,chagoda,59.164,35.3285,275.19,96,100,5.59,RU,1699818677
89,yellowknife,62.456,-114.3525,266.71,97,100,9.26,CA,1699818504
90,camalu,30.85,-116.0667,295.83,30,0,4.54,MX,1699818616
91,punta arenas,-53.15,-70.9167,286.21,44,75,15.43,CL,1699818528
92,oruro,-17.9833,-67.15,290.05,36,22,8.15,BO,1699818678
93,hami,42.8,93.45,276.31,29,100,1.4,CN,1699818678
94,susuman,62.7833,148.1667,239.59,97,100,0.31,RU,1699818332
95,angel r. cabada,18.5833,-95.4333,297.45,90,100,7.74,MX,1699818679
96,afaahiti,-17.75,-149.2833,301.08,82,22,4.07,PF,1699818679
97,pisco,-13.7,-76.2167,295.18,73,0,3.6,PE,1699818624
98,bikenibeu village,1.3673,173.1241,300.13,94,100,4.63,KI,1699818680
99,mwinilunga,-11.7358,24.4293,290.73,94,100,1.45,ZM,1699818680
100,amga,60.8953,131.9608,259.63,91,100,3.59,RU,1699818681
101,tralee,52.2704,-9.7026,283.23,97,100,3.47,IE,1699818681
102,nadym,65.5333,72.5167,263.96,93,52,5.69,RU,1699818372
103,iskateley,67.6803,53.1512,264.83,94,16,2.68,RU,1699818681
104,fale old settlement,-9.3852,-171.2468,301.81,72,71,0.97,TK,1699818433
105,colby,39.3958,-101.0524,292.64,19,0,6.69,US,1699818135
106,murun-kuren,49.6342,100.1625,263.83,54,21,1.71,MN,1699818682
107,miragoane,18.4423,-73.0876,301.77,63,10,1.7,HT,1699818683
108,happy valley-goose bay,53.3168,-60.3315,272.32,64,75,5.14,CA,1699818683
109,thunder bay,48.4001,-89.3168,280.14,81,100,2.06,CA,1699818417
110,udachny,66.4167,112.4,259.51,84,100,2.66,RU,1699818683
111,auki,-8.7676,160.7034,298.46,86,100,1.49,SB,1699818683
112,tezu,27.9167,96.1667,291.5,43,0,2.02,IN,1699818684
113,tofol,5.3248,163.0078,300.24,73,97,9.89,FM,1699818684
114,hadibu,12.65,54.0333,300.05,82,54,5.94,YE,1699818684
115,praia da vitoria,38.7333,-27.0667,294.29,83,40,7.73,PT,1699818685
116,adam,22.3756,57.5233,295.34,50,25,2.15,OM,1699818685
117,jamestown,42.097,-79.2353,283.16,48,0,1.34,US,1699818685
118,edinburgh of the seven seas,-37.0676,-12.3116,287.31,82,6,8.59,SH,1699818685
119,malanje,-9.5402,16.341,291.25,99,98,1.34,AO,1699818686
120,longyearbyen,78.2186,15.6401,273.06,59,75,5.66,SJ,1699818686
121,villa yapacani,-17.4,-63.8333,312.84,25,75,5.7,BO,1699818686
122,labuan,5.2767,115.2417,300.35,89,20,1.54,MY,1699818687
123,moab,38.5733,-109.5498,287.31,21,0,1.82,US,1699818505
124,aguadilla,18.4275,-67.1541,304.78,79,0,8.23,PR,1699818688
125,santa elena de uairen,4.6167,-61.1333,298.74,65,100,0.72,VE,1699818688
126,andkhoy,36.9529,65.1238,285.74,42,0,2.92,AF,1699818688
127,carutapera,-1.195,-46.02,301.51,66,11,4.23,BR,1699818688
128,caras,-9.0467,-77.8114,295.88,64,76,3.08,PE,1699818689
129,horta,38.5333,-28.6333,292.6,91,75,9.26,PT,1699818413
130,darlington,54.5243,-1.5504,280.85,84,75,5.66,GB,1699818689
131,kupang,-10.1667,123.5833,299.47,94,5,1.54,ID,1699818690
132,wailua homesteads,22.0669,-159.378,300.39,81,40,9.77,US,1699818690
133,isla vista,34.4133,-119.861,304.51,21,0,2.06,US,1699818690
134,tutoia,-2.7619,-42.2744,300.64,73,0,5.24,BR,1699818690
135,anna regina,7.2644,-58.5077,301.77,72,9,4.91,GY,1699818691
136,patterson,37.4716,-121.1297,294.83,28,80,3.95,US,1699818691
137,nar'yan-mar,67.6713,53.087,264.88,94,16,2.68,RU,1699818432
138,coracora,-15.0333,-73.7833,291.17,40,46,5.66,PE,1699818692
139,bredasdorp,-34.5322,20.0403,287.25,80,0,1.11,ZA,1699818114
140,sydney,-33.8679,151.2073,291.68,81,75,6.69,AU,1699818531
141,freguesia do ribeirao da ilha,-27.7177,-48.5627,304.07,55,20,6.17,BR,1699818692
142,zaozersk,69.4005,32.4476,263.19,100,95,3.77,RU,1699818693
143,vallenar,-28.5708,-70.7581,301.72,16,0,4.89,CL,1699818495
144,fort bragg,35.139,-79.006,290.83,52,0,5.66,US,1699818335
145,gislaved,57.3044,13.5408,278.48,87,99,1.67,SE,1699818693
146,cadale,2.7603,46.3222,301.27,76,17,3.83,SO,1699818694
147,kavieng,-2.5744,150.7967,300.33,73,100,2.55,PG,1699818694
148,newman,37.3138,-121.0208,294.85,29,79,3.39,US,1699818694
149,souillac,-20.5167,57.5167,295.36,88,20,0.0,MU,1699818446
150,kapuskasing,49.4169,-82.4331,274.2,86,100,7.2,CA,1699818421
151,nemuro,43.3236,145.575,276.68,63,67,4.78,JP,1699818696
152,nizhnesortymskiy,62.4397,71.7603,270.24,96,99,5.63,RU,1699818696
153,ganjam,19.3833,85.0667,296.83,80,98,2.16,IN,1699818696
154,tan-tan,28.438,-11.1032,295.65,53,5,3.32,MA,1699818697
155,holguin,20.8872,-76.2631,303.87,66,40,6.69,CU,1699818697
156,madalena,41.2162,-8.3345,291.35,96,99,3.66,PT,1699818697
157,mount pearl,47.5166,-52.7813,273.62,84,100,3.6,CA,1699818697
158,youghal,51.95,-7.8506,285.71,100,100,6.78,IE,1699818698
159,ishimbay,53.4545,56.0415,274.41,85,73,2.63,RU,1699818698
160,sitka,57.0531,-135.33,278.09,81,0,2.57,US,1699818195
161,launceston,-41.45,147.1667,281.37,87,7,3.09,AU,1699818683
162,vilyuchinsk,52.9306,158.4028,270.89,80,64,3.47,RU,1699818699
163,arno,60.1167,18.6333,277.47,97,100,4.96,SE,1699818699
164,colonia,50.9333,6.95,280.35,86,0,2.57,DE,1699818700
165,umm ruwaba,12.9061,31.2158,306.18,29,100,0.92,SD,1699818700
166,sao francisco,-15.9486,-44.8644,311.02,15,2,3.1,BR,1699818694
167,ouddorp,51.8117,3.9347,282.14,93,91,5.66,NL,1699818701
168,mount gambier,-37.8333,140.7667,280.88,94,47,0.97,AU,1699818244
169,wakkanai,45.4094,141.6739,273.76,63,100,4.92,JP,1699818702
170,saint-pierre,-21.3393,55.4781,293.97,78,0,1.54,RE,1699818702
171,syevyerodonets'k,48.9483,38.4917,283.11,67,95,9.42,UA,1699818702
172,walvis bay,-22.9575,14.5053,290.68,72,10,3.09,,1699818703
173,zacualpa,15.0833,-90.8333,295.09,58,33,2.88,GT,1699818703
174,guerrero negro,27.9769,-114.0611,298.93,21,0,2.05,MX,1699818538
175,ca mau,9.1769,105.15,298.04,95,88,3.18,VN,1699818703
176,labytnangi,66.6572,66.4183,260.83,90,8,3.65,RU,1699818704
177,jalai nur,49.45,117.7,260.86,91,10,2.52,CN,1699818704
178,rongelap,11.1635,166.8941,300.69,83,100,8.78,MH,1699818704
179,rikaze,29.25,88.8833,272.21,22,0,1.83,CN,1699818705
180,la'ie,21.6477,-157.9253,301.13,76,36,3.58,US,1699818705
181,port isabel,26.0734,-97.2086,292.17,91,100,5.66,US,1699818706
182,aykhal,66.0,111.5,261.56,84,100,3.58,RU,1699818706
183,wschowa,51.807,16.3166,279.21,86,100,4.31,PL,1699818706
184,island harbour,50.724,-1.2758,284.83,93,100,1.34,GB,1699818706
185,morehead city,34.7229,-76.726,286.15,89,100,8.23,US,1699818660
186,teguise,29.0605,-13.564,293.27,83,0,3.09,ES,1699818707
187,puerto aysen,-45.4,-72.7,280.68,97,99,2.66,CL,1699818707
188,sorong,-0.8833,131.25,298.93,88,100,3.62,ID,1699818708
189,goure,13.9835,10.2704,299.46,12,10,4.56,NE,1699818708
190,keflavik,64.0049,-22.5624,277.39,70,0,8.75,IS,1699818480
191,ilhabela,-23.7781,-45.3581,298.85,84,92,1.37,BR,1699818700
192,cedeira,43.6797,-8.0209,291.47,77,79,9.61,ES,1699818709
193,kourou,5.1552,-52.6478,301.95,71,53,3.77,GF,1699818709
194,waddan,29.1614,16.139,294.22,52,0,3.69,LY,1699818710
195,arraial do cabo,-22.9661,-42.0278,303.13,74,0,5.14,BR,1699818411
196,college,64.8569,-147.8028,266.12,79,100,2.57,US,1699818098
197,acarau,-2.8856,-40.12,301.3,65,0,7.69,BR,1699818711
198,tamanrasset,22.785,5.5228,293.1,14,0,2.06,DZ,1699818711
199,faranah,10.0404,-10.7434,298.35,47,45,0.84,GN,1699818711
200,whitehorse,60.7161,-135.0538,271.58,86,100,4.63,CA,1699818711
201,keetmanshoop,-26.5833,18.1333,300.66,12,0,5.14,,1699818712
202,pudozh,61.8099,36.5345,275.9,98,100,2.68,RU,1699818713
203,ladnun,27.65,74.3833,292.02,45,3,2.95,IN,1699818714
204,birzai,56.2,24.75,278.3,92,100,3.72,LT,1699818714
205,badger,64.8,-147.5333,266.08,79,100,2.57,US,1699818598
206,port lincoln,-34.7333,135.8667,286.0,83,77,5.2,AU,1699818461
207,harar,9.3094,42.1258,290.09,77,38,1.11,ET,1699818717
208,kuusamo,65.9667,29.1833,266.17,93,100,2.57,FI,1699818717
209,rameswaram,9.2833,79.3,301.39,73,100,9.71,IN,1699818717
210,tonnerre,47.8563,3.9737,285.24,97,100,5.88,FR,1699818717
211,prado,-17.3411,-39.2208,299.3,74,17,8.22,BR,1699818718
212,enewetak,11.3474,162.3373,300.93,80,100,9.42,MH,1699818718
213,hamilton,39.1834,-84.5333,288.65,45,0,3.6,US,1699818718
214,san patricio,28.017,-97.5169,290.12,95,100,4.54,US,1699818337
215,akureyri,65.6835,-18.0878,267.11,93,0,1.03,IS,1699818718
216,manacapuru,-3.2997,-60.6206,305.96,52,90,3.23,BR,1699818533
217,monrovia,6.3005,-10.7969,300.02,86,84,4.0,LR,1699818719
218,howrah,22.5892,88.3103,296.15,78,7,1.54,IN,1699818719
219,vorgashor,67.5833,63.95,264.08,94,43,5.3,RU,1699818399
220,laojunmiao,39.8333,97.7333,270.88,46,0,0.49,CN,1699818719
221,kailua-kona,19.6406,-155.9956,301.64,77,40,3.6,US,1699818720
